1272-135031-0000-9 
0	1	0
1	2	14207	13.3829,6661.22,2_1_1_1_1_1_1_1_1_1_1_1_1_1_1_8_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_18_17_7430_7452_7462_7461_14880_14962_14961_14996_14995_18860_18859_18859_18859_18859
2	3	198712	2.55915,1530.94,18878_18877_18877_18900_18899_3766_3765_3765_3765_3810_3809_3809_3842_3841_3841_3841_3841_26096_26095_26095_26110_26109_26109_26109_26148_26147_25870_25869_25876_25886
3	4	7589	5.6723,510.592,24892_24891_24900_24899
4	5	8843	11.5806,4915.71,24932_24931_24931_10858_10882_10881_10881_10881_10881_10934_10933_3472_3500_3556_22766_22765_22765_22765_22765_22780_22779_22779_22779_22779_22779_22830_22829_22829_22829_22829_22829_22829_22829_22829_22829_22829_19270_19269_19302_19301_19346_17808_17807_17807_17852_17894_17893_17893_17893
5	6	70917	13.4818,3867.95,17893_21870_21869_21884_21883_21883_21883_21883_21916_13366_13376_13384_19256_19255_19255_19302_19301_19301_19301_19301_19346_17808_17838_17918_19668_19667_19716_19715_19740_19739_19739_26092_26091_26091_26091_26098_26126_26125
6	7	124782	7.67287,1694.95,26125_26125_26125_26125_26125_26125_3438_3437_3488_3536_25378_25377
7	8	36528	13.5811,13114.7,25404_25403_25424_25423_25423_25423_25423_25423_25423_25423_25423_25423_18640_18639_18639_18639_18639_18639_18639_18639_18662_18661_18661_18661_18694_18693_18693_18693_18693_18693_936_935_935_962_961_961_961_961_980_20422_20428_20427_20450_20449_20449_18850_18849_18849_18849_18878_18877_18877_18877_18908_18907_18907_10744_10743_10766_10765_10765_10765_10765_10765_10798_10797_14926_14984_14983_14983_14992_20386_20385_20385_20396_20395_20395_20395_20395_20395_20408_20407_20407_20407_20407_2_8_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5
8	9	175861	13.076,3916.94,5_5_5_18_17_17_8186_8206_8205_8205
9	10	104488	9.54922,3377.62,8224_3624_3623_3640_3704_19044_19100_19099_19099_19099_19099_19099_19099_19099_19099_19132_19131_4216_4215_4215_4232_4231_4262_25438_25450_25449_25462_25461_25461_19256_19255_19255_19255_19302_19301_19301_19346_19345_17174_17173_17224_17223_17278_17277_17277_17277_17277_17277_17277
10	11	150694	15.8564,5949.34,22044_22043_22043_22043_22043_22043_22043_22043_22043_22043_22066_22065_22080_22079_22079_24946_24945_24945_24945_24945_24945_24962_24990_24989_19690_19716_19715_19715_19740_19739_26092_26091_26091_26091_26120_26119_26119_26119_26136_26135_26135_26135_26135_26135_21808_21807_21807_21807_21834_21833_21833_21833_21833_21854_21853_21853_21853
11	12	139719	11.5004,2411.43,22272_22316_22338_15592_15632_15704_20124_20123_20174_20214_20213_22762_22761_22761_22772_22771_22771_22771_22824_22823_22823_22823
12	13	78075	3.88749,1647.71,3742_3741_3774_3842_3841_3841_26096_26095_26095_26104_26103_26124_26123_26123_26123_13484_13483_13483_13538_13560_3732_3810_3842_3841_26096_26114_26113_26136_26135_26135_26135_26135_7436_7435_7435
13	14	14268	3.68051,2091.83,7435_7452_7462_14880_14962_14996_18860_18859_18859_18892_18891_18891_18891_18914_18913
14	15	4	14.0342,3871.71,18913_18913_18913_4194_4236_4260_19586_19616_19615_19648_3888_3887_3887_3887_3968_3976_3975_13140_13139_13139_13139_13139_13139_13139_13139_13139_13139_13139_13139_13139_13139_13139_13139_13139_13139_13139_13139
15	16	60497	7.28577,3563.76,13139_13162_13161_13174_13173_13173_12648_12647_12647_12676_12675_12675_12708_23380_23452_23451_23518_23517_3746_3782_3824_3823_19162_19161_19161_19161_19161_19161_19161_19161_19161_19161
16	17	197148	9.6278,1649.21,19206_19205_19205_19205_19222_25542_25541_25541_25541_25578_25577_25608_21202_21201_21228_21246_25432_25444_25472_25471_3738_3737_3737_3786_3785_3785
17	18	124782	10.5806,2835.63,3785_3858_19980_20044_20043_20076_3440_3510_3509_3536_25378_25400_25399_25408_7432_7431_7431_7431_7431_7431_7431_7431_7431_7431_7431_7431_7431_7431_7431_7454_7476_7475
18	19	23542	5.74196,4619.21,7475_24106_24105_24118_24130_19180_19179_19179_19179_19179_19179_19179_19179_19179_19179_19179_19179_19179_19179_19179_19179_19179_19179_19179_19179_19179_19192_19191_19191_19191_19191_19191_19191_19220_19219_19219_19219_19219_2_1_1_8_5_5_5_5_5_5_5_5_5_5_5_5
19	20	82742	12.0361,5515.18,5_18_17_17_17_17_17_17_17_17_17_17_17_17_17_17_17_17_17_17_17_17_17_17_17_17_17_17_17_17_17_17_17_17_17_17_13500_13534_13548_13547_13547_21212_21211_21228_21227_21246_21245_21245_21245_21245_21872_21871_21871
20	21	64424	8.10346,2137.8,21871_21871_21884_21883_21883_21916_21915_21915_13138_13156_13155_13155_13182_13181_5290_5289_5316_5338_5337
21	22	4	8.0719,2251.04,22148_22147_22147_22147_22147_22147_22162_22161_22161_22161
22	23	158810	10.8157,2755.66,22236_3908_3962_4000_3999_22970_22969_22969_22969_22969_22969_22969_22969_22969_22969_22969_22969_22969_22980_22979_22990_22989_2488_2487_2487_2487_2487_2487_2508_2507_2507_2507_2507_2522_2521_13422_13421_13428_13427_13427_13440_13439_17186_17185
